Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),
Configuration Field Inputs,50,50,3,0,0,15,V1,v,10000,I2,c,100,I3,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.13871118878,-4.71073979954,1.43563390247,23.4468769244,1.68281593832,-175.550178176,49.9999987222,0.744196317108,
 ,0.02,1.138711175,-4.71073764086,1.43563368823,23.4468770595,1.68281573234,-175.550179334,49.9999993631,0.273771389952,
 ,0.04,1.13871117221,-4.71073655378,1.43563363546,23.4468780455,1.68281567573,-175.550178991,49.9999996691,0.100713458267,
 ,0.06,1.13871117063,-4.71073512577,1.43563358364,23.4468795865,1.68281562293,-175.550178102,49.9999997497,0.0370500627596,
 ,0.08,1.13871116932,-4.71073322795,1.43563352118,23.4468816685,1.68281556171,-175.550176746,49.9999997378,0.0136300380565,
 ,0.1,0.559661461583,2.03922228636,2.64746384069,-70.3695373678,2.92005114051,113.441412962,48.8180655336,5.1664420491,
 ,0.12,0.557318630694,2.82443112359,2.64413953638,-71.4130921329,2.92152896174,113.137687137,49.4749689858,-1.21908944328,
 ,0.14,1.12592541154,-2.94367500794,1.28322014167,23.9123216527,1.58363783074,-176.495350857,50.195346122,-3.65047658231,
 ,0.16,1.12892733007,-2.75443602127,1.36186570592,23.9510976927,1.62741433212,-175.517009712,50.0509374673,-0.632188814982,
 ,0.18,1.1286540549,-2.17964982411,1.36745521114,24.3441624397,1.63086904483,-174.970257636,49.9706420788,0.144776763346,
 ,0.2,1.12806038376,-1.57299623237,1.36738921951,24.7904376476,1.63210415835,-174.456116091,49.9369644169,0.210453041946,
 ,0.22,1.12741362308,-0.960724732917,1.36804361938,25.2470684926,1.63410214302,-173.93869188,49.9234029885,0.140680769118,
 ,0.24,1.12676595157,-0.346283110961,1.36999572391,25.706214004,1.63720426251,-173.411055455,49.9179704126,0.0770764940222,
 ,0.26,1.12614557522,0.268531265337,1.37332680354,26.1672991083,1.64153000109,-172.869601916,49.9158531151,0.038172816391,
 ,0.28,1.12557252322,0.882318081068,1.3780710142,26.6316598845,1.64713315842,-172.311992504,49.9151408572,0.0172591260053,
 ,0.3,1.12506155388,1.49389988971,1.38423390493,27.1010325032,1.65401826663,-171.736882632,49.9150723183,0.00651386326909,
 ,0.32,1.1246231454,2.10223171985,1.39178524013,27.5769664173,1.66214774883,-171.143861262,49.9153412451,0.000939123122911,
 ,0.34,1.12426383995,2.70635422913,1.40065579633,28.0605516546,1.67144645379,-170.53342933,49.9158218915,-0.00214492415352,
 ,0.36,1.12398643642,3.30537032801,1.41073776074,28.5522951736,1.68180523175,-169.906960893,49.9164602754,-0.00405869964275,
 ,0.38,1.12379024458,3.89843170931,1.42188744274,29.0520876704,1.69308454438,-169.266627349,49.9172312357,-0.00542254161589,
 ,0.4,1.12367146233,4.48472864165,1.4339295845,29.5592315429,1.70511855302,-168.615285013,49.9181216026,-0.0065209338123,
 ,0.42,1.12362366594,5.06348014421,1.44666284965,30.0725093643,1.71771982421,-167.956335871,49.9191237067,-0.00748466993478,
 ,0.44,1.1236383741,5.63392338251,1.45986618039,30.5902754331,1.73068464264,-167.293574931,49.9202329666,-0.00837685358166,
 ,0.46,1.12370563789,6.19530194412,1.47330574833,31.1105554498,1.74379883896,-166.631037483,49.9214470646,-0.00923191464983,
 ,0.48,1.12381461163,6.74685312156,1.48674223141,31.6311424115,1.7568439847,-165.972857499,49.9227657109,-0.0100726824533,
 ,0.5,1.12395406811,7.28779465356,1.49993814838,32.149680418,1.76960376372,-165.32314512,49.9241905897,-0.0109174698505,
 ,0.52,1.12411283362,7.81731160416,1.5126649872,32.6637318175,1.78187030109,-164.68588767,49.9257253096,-0.0117826642641,
 ,0.54,1.12428013092,8.33454418586,1.52470987921,33.1708265011,1.79345021798,-164.064875238,49.9273752862,-0.0126833149275,
 ,0.56,1.12444583006,8.83857734063,1.5358815997,33.6684948022,1.80417018846,-163.463649202,49.9291475283,-0.0136328625,
 ,0.58,1.12460061717,9.3284327814,1.54601571748,34.1542872126,1.81388179995,-162.885470163,49.9310503293,-0.0146425694684,
 ,0.6,1.12473609771,9.80306399316,1.55497876497,34.6257849869,1.82246555903,-162.333300726,49.9330928841,-0.0157209433737,
 ,0.62,1.12484485436,10.2613544501,1.56267135165,35.080605844,1.8298339308,-161.80979834,49.9352848595,-0.0168733035817,
 ,0.64,1.1249204801,10.7021190841,1.56903018784,35.5164086153,1.83593334601,-161.31731378,49.9376359468,-0.018101546938,
 ,0.66,1.12495760445,11.1241088947,1.57402901946,35.9309000551,1.84074514702,-160.857891567,49.9401554205,-0.0194040959656,
 ,0.68,1.12495192623,11.5260185371,1.57767849401,36.3218462512,1.84428547077,-160.433269702,49.942851714,-0.0207759678264,
 ,0.7,1.1249002601,11.9064967491,1.58002498739,36.6870902281,1.84660408443,-160.044877191,49.9457320133,-0.0222088904962,
 ,0.72,1.12480059733,12.2641595241,1.58114842529,37.024576408,1.84778220317,-159.69382904,49.9488018649,-0.0236914145675,
 ,0.74,1.12465217422,12.5976059452,1.58115914098,37.3323815994,1.84792933613,-159.380919577,49.9520647951,-0.0252090128128,
 ,0.76,1.12445553649,12.905436539,1.58019382692,37.6087511653,1.84717923085,-159.106615952,49.9555219465,-0.0267442043194,
 ,0.78,1.12421258402,13.1862738613,1.57841066464,37.8521381012,1.84568501829,-158.871054421,49.959171745,-0.0282767647433,
 ,0.8,1.12392658051,13.4387848568,1.57598375155,38.0612420942,1.84361369788,-158.674042307,49.9630096194,-0.0297840776326,
 ,0.82,1.12360211484,13.6617043752,1.57309698017,38.2350453993,1.8411401363,-158.515068365,49.9670277964,-0.0312416473648,
 ,0.84,1.12324500705,13.853859139,1.56993755681,38.3728426597,1.83844078082,-158.393323451,49.9712151849,-0.0326237486101,
 ,0.86,1.12286215973,14.0141914627,1.56668937109,38.47426261,1.83568730212,-158.307732181,49.9755573586,-0.0339041520158,
 ,0.88,1.12246136393,14.1417820889,1.56352644056,38.5392807926,1.83304038435,-158.256994637,49.9800366308,-0.0350568571062,
 ,0.9,1.12205107685,14.2358715947,1.56060666014,38.5682237257,1.83064387268,-158.239635584,49.9846322138,-0.0360567839497,
 ,0.92,1.12164019355,14.2958798736,1.55806608381,38.5617660675,1.82861947737,-158.2540573,49.989320456,-0.0368804131273,
 ,0.94,1.12123783637,14.321423187,1.55601395701,38.5209229256,1.82706221801,-158.298591385,49.9940751537,-0.037506398513,
 ,0.96,1.12085318229,14.3123282197,1.55452870041,38.4470393758,1.82603677452,-158.371544981,49.998867941,-0.0379161904934,
 ,0.98,1.12049534084,14.2686425113,1.55365501546,38.3417784922,1.82557488754,-158.471237774,50.0036687647,-0.0380946906294,
 ,1.0,1.12017328399,14.1906406318,1.55340223684,38.207107933,1.82567391829,-158.596027781,50.0084464434,-0.0380309189108,
 ,1.02,1.11989581727,14.0788255752,1.55374399652,38.0452837403,1.82629663327,-158.744325993,50.0131693026,-0.0377186293563,
 ,1.04,1.11967157025,13.9339250711,1.55461919436,37.8588288856,1.8273722245,-158.914601935,50.01780586,-0.0371567789841,
 ,1.06,1.11950897718,13.7568828325,1.55593419757,37.6505035943,1.82879851605,-159.105383742,50.0223255243,-0.036349753086,
 ,1.08,1.11941621702,13.5488451159,1.55756612818,37.4232648157,1.83044524911,-159.315257048,50.0266992649,-0.0353072784083,
 ,1.1,1.11940108651,13.3111432921,1.55936705147,37.1802133936,1.83215829004,-159.542866693,50.0309002078,-0.034044005923,
 ,1.12,1.11947079118,13.0452733537,1.56116885587,36.9245293419,1.83376457332,-159.786924063,50.034904123,-0.0325788002317,
 ,1.14,1.11963165405,12.7528733966,1.56278861568,36.6593977791,1.8350775776,-160.046220979,50.0386897819,-0.030933817392,
 ,1.16,1.11988875936,12.4357000937,1.56403424876,36.387930095,1.83590313738,-160.319648972,50.0422391779,-0.0291334770644,
 ,1.18,1.12024556394,12.095605059,1.5647103138,36.1130863562,1.83604541045,-160.60622087,50.0455376164,-0.0272034359638,
 ,1.2,1.12070352043,11.7345118208,1.56462382698,35.8376055068,1.83531284686,-160.905090386,50.0485736932,-0.0251696517214,
 ,1.22,1.1212617614,11.3543939133,1.56359000825,35.5639494315,1.83352403225,-161.215564938,50.0513391812,-0.0230575961911,
 ,1.24,1.12191689053,10.9572544144,1.56143788544,35.2942654829,1.83051330084,-161.537107472,50.0538288531,-0.0208916421096,
 ,1.26,1.12266291693,10.5451071219,1.55801568733,35.0303698726,1.82613602645,-161.86932431,50.0560402559,-0.0186946131783,
