Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),
Configuration Field Inputs,50,50,3,0,0,15,V1,v,10000,I2,c,100,I3,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.13057663126,-6.00121548382,0.412016490026,145.807420643,0.386352329359,-25.9628220379,49.9999989561,0.940625772573,
 ,0.02,1.13057661748,-6.00121333468,0.412016488574,145.80742323,0.386352328633,-25.9628195022,49.9999994498,0.346034432214,
 ,0.04,1.13057661469,-6.00121223837,0.41201648603,145.807424133,0.38635232597,-25.9628185777,49.9999997001,0.127297803777,
 ,0.06,1.1305766131,-6.00121079855,0.412016483213,145.80742535,0.386352322982,-25.9628173259,49.99999976,0.0468299926408,
 ,0.08,1.13057661181,-6.00120888755,0.412016480164,145.807427041,0.386352319763,-25.962815592,49.9999997405,0.0172279090806,
 ,0.1,0.547940926817,0.468737014458,0.278070168671,145.052929188,0.261623508206,-29.5112539567,48.8578167943,4.8925480084,
 ,0.12,0.545066795978,1.0908341899,0.299182937385,147.78811592,0.283702003039,-27.0989268373,49.5056139606,-1.24982655563,
 ,0.14,1.1173701394,-4.33007046758,0.433696754877,149.109265476,0.409739457201,-23.1103322094,50.1792959998,-3.43900305035,
 ,0.16,1.12070264071,-4.05193743138,0.411372289621,147.797711424,0.385943915467,-24.0330547653,50.0396597575,-0.582960415206,
 ,0.18,1.12047676319,-3.46484147715,0.408061085426,148.155563372,0.382437112968,-23.6192844944,49.965668491,0.13270792824,
 ,0.2,1.11988753953,-2.8554486413,0.407189287833,148.701152263,0.381520594754,-23.0631623142,49.9349326487,0.192280512237,
 ,0.22,1.11923785686,-2.24150421385,0.406598158997,149.26331376,0.38089534205,-22.4962741535,49.9225176091,0.128674575309,
 ,0.24,1.1185857828,-1.62563655597,0.406066600984,149.828895314,0.380330692968,-21.9271751246,49.9175230568,0.0706195161717,
 ,0.26,1.11796070724,-1.00967876615,0.405600670676,150.39908813,0.37983514004,-21.3544091868,49.9155905631,0.0349240500466,
 ,0.28,1.11738301608,-0.395105843017,0.405220174549,150.975006758,0.379430502116,-20.7769873525,49.9149774936,0.0155833807279,
 ,0.3,1.11686763515,0.216858862384,0.404938735189,151.556983654,0.379131527255,-20.1946696737,49.9149809303,0.0055408488979,
 ,0.32,1.11642514078,0.82514595398,0.404764683817,152.144867824,0.378947163756,-19.6076541654,49.9153140127,0.000259889162591,
 ,0.34,1.11606213247,1.42878537336,0.404702653199,152.738214922,0.378882381987,-19.016404009,49.9158568578,-0.00270732039819,
 ,0.36,1.11578143494,2.02687902618,0.404754438846,153.336374093,0.378939141133,-18.4215711499,49.9165567633,-0.0045747933427,
 ,0.38,1.11558235714,2.61858539898,0.404919444608,153.938525922,0.379116880491,-17.8239629657,49.9173883452,-0.00591684241158,
 ,0.4,1.11546107345,3.20310835325,0.405194961217,154.543700156,0.379412817265,-17.2245260902,49.9183377512,-0.00699893960045,
 ,0.42,1.11541111805,3.77968665245,0.405576392281,155.150785652,0.379822180651,-16.6243365756,49.9193965214,-0.00794441578423,
 ,0.44,1.11542395313,4.34758281129,0.406057471805,155.758537442,0.380338433196,-16.0245923906,49.9205592944,-0.00881370938188,
 ,0.46,1.11548956305,4.90607081818,0.406630486142,156.365582601,0.38095349553,-15.4266070707,49.9218230269,-0.00964055483476,
 ,0.48,1.11559702902,5.45442281475,0.407286500554,156.970425475,0.381657976232,-14.8318042994,49.923186778,-0.010447906644,
 ,0.5,1.11573504752,5.99189517123,0.408015586106,157.571452509,0.382441403335,-14.2417133326,49.9246516679,-0.0112545653338,
 ,0.52,1.11589236799,6.51771464174,0.408807041702,158.166937058,0.383292452689,-13.6579649735,49.9262208371,-0.0120775845448,
 ,0.54,1.11605813766,7.03106541963,0.409649606786,158.755044719,0.384199168797,-13.0822875371,49.9278993363,-0.0129327787051,
