Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),
Configuration Field Inputs,50,50,12,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.13924496732,-4.77007345312,1.70679788052,-95.3441828718,1.70679788052,-95.3441828718,1.70943747274,-95.3536580077,1.43498880549,-156.601223381,0.494405195729,-33.9195070494,0.622804745163,-6.5224938989,0.364946616234,3.02847892214,1.09404305021,-2.91904636892,1.09675224879,-2.95180581168,1.06783354204,-7.155219341,1.07592425887,-7.42617641487,49.9999986741,0.75390190052,
 ,0.02,1.13924495341,-4.77007128725,1.70679785061,-95.3441804615,1.70679785061,-95.3441804615,1.70943744268,-95.3536555947,1.4349885913,-156.601223254,0.494405229511,-33.9195013205,0.622804761794,-6.52249153349,0.364946616497,3.02848112648,1.09404314065,-2.91904413364,1.09675233934,-2.95180357492,1.06783362031,-7.15521683975,1.07592433686,-7.426173894,49.9999993449,0.27734173549,
 ,0.04,1.1392449506,-4.77007019818,1.70679784395,-95.34417914,1.70679784395,-95.34417914,1.70943743598,-95.3536542705,1.43498853853,-156.601222269,0.494405231726,-33.9195003895,0.62280475428,-6.52249061641,0.364946613555,3.02848219361,1.09404314298,-2.91904329925,1.09675234168,-2.95180274003,1.06783360792,-7.15521603253,1.07592432445,-7.42617308669,49.9999996622,0.102026862366,
 ,0.06,1.139244949,-4.77006876806,1.70679783896,-95.344177354,1.70679783896,-95.344177354,1.70943743095,-95.3536524804,1.43498848671,-156.60122073,0.494405230862,-33.9194991958,0.622804740272,-6.5224894408,0.36494661031,3.02848364487,1.09404313274,-2.91904220268,1.09675233144,-2.95180164291,1.06783357453,-7.15521504786,1.07592429109,-7.42617210601,49.9999997469,0.0375332178865,
 ,0.08,1.13924494767,-4.77006686765,1.70679783378,-95.3441749734,1.70679783378,-95.3441749734,1.70943742572,-95.3536500943,1.43498842424,-156.60121865,0.494405230362,-33.9194973413,0.6228047217,-6.52248786499,0.364946606908,3.02848560231,1.09404311758,-2.91904072512,1.09675231627,-2.95180016463,1.06783352769,-7.15521373791,1.0759242443,-7.42617080218,49.9999997366,0.0138077740314,
 ,0.1,0.557342147668,1.98076145692,0.0787801389297,-120.088148875,0.0787801389297,-120.088148875,0.071870983304,-124.251407875,2.6481026066,109.626073087,0.310856489915,-19.6257046252,0.517488782435,-43.1386197613,0.228252553786,-9.23644063826,0.840782527557,34.531025061,0.841973535034,34.4593168124,0.861291878839,-41.8245101505,0.866723950443,-41.8592002691,48.8121905887,5.19796230604,
 ,0.12,0.554985213911,2.77345717437,0.0749676160607,-116.075868297,0.0749676160607,-116.075868297,0.0677393498514,-120.082379641,2.64478174814,108.582974182,0.342208997106,-16.7820405734,0.534671070046,-41.0770992495,0.25180246832,-8.55489226251,0.849492370846,33.9841371407,0.850736341077,33.9130573741,0.876462043319,-40.5268789576,0.881904860458,-40.5628752695,49.4717660366,-1.22160337263,
 ,0.14,1.12637834286,-2.9978525851,1.67768176652,-93.1124092173,1.67768176652,-93.1124092173,1.68015972605,-93.1166256374,1.28260965155,-156.141522385,0.523623715209,-29.5856523977,0.637818269979,-5.30898403483,0.388940444909,3.81378468604,1.11012597516,-1.75341934739,1.11286798453,-1.78433939126,1.06893375913,-6.19157232149,1.07704006736,-6.45365806849,50.1945657233,-3.66327094393,
 ,0.16,1.12940511848,-2.81184390013,1.68420936616,-92.9391064492,1.68420936616,-92.9391064492,1.68672053638,-92.9434597238,1.36125669353,-156.099838107,0.49571108507,-31.6439977524,0.610427412828,-5.16904815606,0.364275289775,4.73589959947,1.0892664324,-1.65040774347,1.09196620262,-1.68151804821,1.03775297827,-6.22309986865,1.04585115913,-6.49063326741,50.0508524437,-0.639884659124,
 ,0.18,1.1291302046,-2.2373842932,1.68301922863,-92.2485833068,1.68301922863,-92.2485833068,1.68551905343,-92.2515924756,1.3668501828,-155.706633296,0.492243166719,-31.2423620621,0.60340939664,-4.72998381695,0.360665035615,5.42279363553,1.08714298689,-1.22551081418,1.0898375758,-1.25627883417,1.02616991933,-5.91890455124,1.03427632038,-6.18682381481,49.9706464114,0.141568270551,
