Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.03796024835,-10.5792004377,3.63874166447,162.42316345,3.63874166447,162.42316345,3.9708589191,46.324648663,3.9708589191,46.324648663,49.9999981164,1.51647659254,
 ,0.02,1.03796023051,-10.5791984343,3.63874137787,162.423158728,3.63874137787,162.423158728,3.97085894884,46.3246493099,3.97085894884,46.3246493099,49.9999991492,0.557875646956,
 ,0.04,1.03796022653,-10.5791971045,3.63874136903,162.423159334,3.63874136903,162.423159334,3.97085896795,46.3246497998,3.97085896795,46.3246497998,49.9999995675,0.205229066195,
 ,0.06,1.03796022357,-10.5791952394,3.63874139924,162.423160774,3.63874139924,162.423160774,3.97085899234,46.3246505136,3.97085899234,46.3246505136,49.9999996727,0.0754991013512,
 ,0.08,1.03796022049,-10.5791927429,3.63874145043,162.423162789,3.63874145043,162.423162789,3.97085902399,46.3246514911,3.97085902399,46.3246514911,49.9999996558,0.0277746805399,
 ,0.1,0.178935478544,-6.57602053497,16.4615255101,-91.5901819587,16.4615255101,-91.5901819587,4.95886102812,71.8463687928,4.95886102812,71.8463687928,48.0116887567,9.37623434006,
 ,0.12,0.17690305948,-5.43096866389,16.238030879,-90.2905359001,16.238030879,-90.2905359001,4.94819487688,72.1390580959,4.94819487688,72.1390580959,48.9926214602,-1.34122773734,
 ,0.14,1.02127590789,-8.50760450259,3.54024599003,163.289983785,3.54024599003,163.289983785,4.01662566843,47.1733838376,4.01662566843,47.1733838376,50.0247546865,-5.1674010282,
 ,0.16,1.02516099699,-8.14527708739,3.60832248844,165.124982798,3.60832248844,165.124982798,4.02489012067,47.303137285,4.02489012067,47.303137285,49.978727549,-1.64811630125,
 ,0.18,1.02441627757,-7.40923776623,3.61171850375,165.924896915,3.61171850375,165.924896915,4.0385209186,47.5944201037,4.0385209186,47.5944201037,49.9330813063,-0.387975654706,
 ,0.2,1.02325262958,-6.65184725805,3.60926902417,166.66536263,3.60926902417,166.66536263,4.05188733529,47.9161583196,4.05188733529,47.9161583196,49.9110871965,-0.0395306677115,
 ,0.22,1.02206708791,-5.90218447554,3.60508044761,167.38687107,3.60508044761,167.38687107,4.06438791796,48.2581156823,4.06438791796,48.2581156823,49.902261835,0.0262492384672,
 ,0.24,1.02093233094,-5.16607004646,3.59943787275,168.08207831,3.59943787275,168.08207831,4.07583246806,48.6199306483,4.07583246806,48.6199306483,49.8997016343,0.0208406547096,
 ,0.26,1.019885566,-4.44726710723,3.59238477087,168.744823405,3.59238477087,168.744823405,4.08608508142,49.0020087262,4.08608508142,49.0020087262,49.9001193855,0.00474162808175,
 ,0.28,1.01895363379,-3.7488245541,3.58395853538,169.370585356,3.58395853538,169.370585356,4.09503385223,49.4046837106,4.09503385223,49.4046837106,49.9020248872,-0.00827164479117,
 ,0.3,1.01815656285,-3.07323283898,3.57421425879,169.955945724,3.57421425879,169.955945724,4.10258516062,49.8280694072,4.10258516062,49.8280694072,49.9047402833,-0.0169508624879,
 ,0.32,1.01750849828,-2.42248719494,3.5632314764,170.498479807,3.5632314764,170.498479807,4.10866224845,50.2720070651,4.10866224845,50.2720070651,49.9079428793,-0.0225033088886,
 ,0.34,1.01701804238,-1.79811972499,3.55111701095,170.996784369,3.55111701095,170.996784369,4.11320604101,50.7360412183,4.11320604101,50.7360412183,49.9114620024,-0.0260855324933,
 ,0.36,1.01668854621,-1.20122045657,3.53800685376,171.450531458,3.53800685376,171.450531458,4.11617727807,51.2194036331,4.11617727807,51.2194036331,49.9151915886,-0.0284259458867,
 ,0.38,1.01651853631,-0.632458948183,3.52406828374,171.860508584,3.52406828374,171.860508584,4.11755925473,51.7209961245,4.11755925473,51.7209961245,49.9190538533,-0.0299258384431,
