Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),
Configuration Field Inputs,50,50,14,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.08300000027,3.67755704443,0.439405275318,-17.944193894,25.9124964845,-176.743973582,4.30511575959,-19.4792457672,0.0889047710026,-28.3872142468,0.0382225807749,-32.4863867087,0.237807623979,-37.033958519,0.261440796897,159.5292294,9.34712615447,-23.9583391199,0.0581425206574,-29.2126189252,14.2982686722,-18.2904991255,1.71001735976,-5.53907538288,0.0865307183221,-41.1723871416,0.612700003588,-112.000753269,49.9999999938,-0.552786074667,
 ,0.02,1.08300000029,3.67755705423,0.439405273465,-17.9441938836,25.9124964797,-176.743973566,4.30511575569,-19.4792457554,0.0889047708875,-28.3872142346,0.0382225808817,-32.4863867427,0.237807623893,-37.0339585169,0.261440727046,159.529224502,9.34712584021,-23.9583391472,0.0581425206312,-29.2126189108,14.2982686842,-18.290499118,1.71001735523,-5.53907531156,0.0865307181327,-41.1723871306,0.612700050935,-112.000764284,49.9999999967,-0.203358644242,
 ,0.04,1.08300000034,3.67755708671,0.439405267503,-17.9441938729,25.91249649,-176.743973521,4.30511574472,-19.4792457167,0.0889047705731,-28.3872141909,0.0382225812948,-32.4863867491,0.237807623807,-37.0339584859,0.261440726112,159.529224569,9.34712486128,-23.9583393111,0.058142520548,-29.212618866,14.2982687205,-18.2904990931,1.7100173413,-5.53907509419,0.0865307174668,-41.1723871124,0.612700286894,-112.000810314,49.9999999958,-0.0748114588432,
 ,0.06,1.08300000042,3.67755714345,0.439405257555,-17.9441938494,25.9124965049,-176.743973448,4.30511572779,-19.479245651,0.0889047700848,-28.3872141166,0.0382225819328,-32.4863867443,0.237807623714,-37.03395843,0.261440735571,159.529224831,9.3471232415,-23.95833957,0.0581425204056,-29.2126187876,14.2982687785,-18.2904990491,1.71001731811,-5.53907472907,0.0865307163708,-41.1723870756,0.61270066145,-112.000883819,49.9999999933,-0.027521584662,
 ,0.08,1.08300000053,3.67755722877,0.439405243489,-17.9441938093,25.9124965193,-176.743973343,4.30511570685,-19.4792455562,0.0889047694721,-28.3872140105,0.0382225827172,-32.4863867219,0.237807623666,-37.033958347,0.261440747628,159.529224742,9.34712098811,-23.9583399208,0.0581425201965,-29.2126186698,14.2982688541,-18.2904989816,1.71001728555,-5.53907421138,0.0865307148488,-41.1723870168,0.61270117346,-112.00098463,49.9999999898,-0.0101246073954,
 ,0.1,1.08299898748,3.67766897779,0.439407882744,-17.9438939965,25.9148141497,-176.74133414,4.30451464586,-19.5071615594,0.0888745578287,-28.4984124236,0.0381066820686,-33.9528886644,0.237641497507,-37.394171885,0.272380321107,161.981556762,9.34717587349,-23.9580224741,0.0581426932978,-29.2124525183,14.2982543397,-18.2909819083,1.70995138924,-5.54158115122,0.0865126824642,-41.2244699511,0.612674503607,-111.998572238,49.9999902362,-0.00368255550891,
 ,0.12,1.0829990538,3.67772244411,0.439409342859,-17.9438517274,25.9159209757,-176.740830175,4.30424838366,-19.5070691396,0.0888586464138,-28.4992628256,0.0380479258193,-33.9739846183,0.237538105345,-37.3995184385,0.273580506461,161.956129766,9.34720495931,-23.9579779919,0.0581427937479,-29.2124260981,14.2982340844,-18.2909273533,1.70993485504,-5.54131160728,0.0865039964521,-41.2250138807,0.612669971512,-111.997224841,49.9999913738,-0.0013573651881,
 ,0.14,1.08300023939,3.67772230892,0.439409755128,-17.9440694894,25.9158243981,-176.742518337,4.30419754095,-19.4786658651,0.0888481810495,-28.3890425138,0.0380130160386,-32.5390491352,0.237438507084,-37.0487553255,0.264780753251,159.403289866,9.34721134571,-23.9582091375,0.058142831478,-29.2125403877,14.2981920827,-18.2903220264,1.70996084341,-5.53812744096,0.0864994266007,-41.1736052141,0.612687651124,-111.996824493,49.999996352,-0.000516075854647,
 ,0.16,1.08300037694,3.67784473908,0.43941307712,-17.9439688728,25.9180314742,-176.741369764,4.30346469597,-19.4772738801,0.0888029599114,-28.3865629366,0.0378832918834,-32.532471019,0.237178876007,-37.0483122029,0.266132011358,159.315694202,9.34728088173,-23.9581037169,0.0581430614284,-29.2124785887,14.2981115322,-18.2901554075,1.7099142035,-5.53724888618,0.0864745028498,-41.1729301562,0.612676224264,-111.993677847,49.9999877033,-0.000148222240285,
 ,0.18,1.08300053697,3.67799552653,0.439417131957,-17.9438427758,25.9204363233,-176.740112341,4.30246579888,-19.4756629128,0.0887404353922,-28.3840287082,0.0377280769393,-32.5364701066,0.236841954449,-37.0505503714,0.268097658632,159.288499949,9.34736664792,-23.9579719369,0.0581433442727,-29.2124015564,14.2979856311,-18.2899496395,1.70984978953,-5.53609189444,0.0864426838718,-41.1724920589,0.612661946913,-111.989837814,49.9999820178,-2.64915860665e-05,
