Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),
Configuration Field Inputs,50,50,7,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.03886429123,-9.47780848376,8.49109696305,155.672161927,8.49109696305,155.672161927,1.23448068331,39.6667994868,1.23448068331,39.6667994868,3.69922421086,2.77790732617,3.69922421086,2.77790732617,49.9999977061,1.3613151556,
 ,0.02,1.03886427537,-9.47780657692,8.49109690963,155.67216202,8.49109690963,155.67216202,1.23448101618,39.6667952671,1.23448101618,39.6667952671,3.69922378998,2.77790434934,3.69922378998,2.77790434934,49.9999990051,0.500793723252,
 ,0.04,1.03886427164,-9.47780524883,8.49109676361,155.672162665,8.49109676361,155.672162665,1.23448091925,39.6667999397,1.23448091925,39.6667999397,3.69922376466,2.77790498681,3.69922376466,2.77790498681,49.9999995145,0.184229379408,
 ,0.06,1.03886426888,-9.47780337361,8.49109652992,155.672163482,8.49109652992,155.672163482,1.23448070478,39.66680828,1.23448070478,39.66680828,3.69922378269,2.77790624353,3.69922378269,2.77790624353,49.9999996522,0.067773597867,
 ,0.08,1.03886426605,-9.47780086085,8.49109621646,155.672164512,8.49109621646,155.672164512,1.2344804008,39.666819652,1.2344804008,39.666819652,3.69922381904,2.77790796479,3.69922381904,2.77790796479,49.9999996468,0.0249325739131,
 ,0.1,0.0873966808328,-6.21413659542,41.1778231813,-89.5295046477,41.1778231813,-89.5295046477,10.4803284593,93.8281205852,10.4803284593,93.8281205852,16.6273881652,88.3611521819,16.6273881652,88.3611521819,46.7090415493,15.2647741916,
 ,0.12,0.0866035183417,-5.23075341561,40.8034047156,-88.5470101399,40.8034047156,-88.5470101399,10.4516538546,94.1294935198,10.4516538546,94.1294935198,16.4020832012,89.6585769166,16.4020832012,89.6585769166,48.3603494151,-2.39030702011,
 ,0.14,1.02251323523,-7.42383145491,8.37605577051,158.476545337,8.37605577051,158.476545337,1.41552758331,41.4373791069,1.41552758331,41.4373791069,3.57629712369,3.96142384506,3.57629712369,3.96142384506,50.0003119086,-8.27573744581,
 ,0.16,1.02598168581,-7.03835496087,8.32807953218,158.927621734,8.32807953218,158.927621734,1.30127412593,43.6284460545,1.30127412593,43.6284460545,3.67293398522,5.37990102342,3.67293398522,5.37990102342,49.9695257855,-2.86454573931,
 ,0.18,1.0252222621,-6.30022498647,8.27572424563,159.509076168,8.27572424563,159.509076168,1.27749846936,44.8447507963,1.27749846936,44.8447507963,3.67727846264,6.14229538263,3.67727846264,6.14229538263,49.9301857422,-0.86446523011,
