Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),
Configuration Field Inputs,50,50,14,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.03100000033,-14.3737132888,0.0788713365143,-0.0266552610023,0.0451846314715,-13.8876747423,0.0432515794499,-24.0599340642,3.30646909605,-35.0940854511,0.397963082246,176.521306497,0.276930628799,179.345063596,0.470414135609,-24.6934128106,1.2071658005,160.527831634,0.0271850135385,100.881972773,0.0865307183221,138.827612858,0.447176717526,131.450668361,7.12657165623,89.8880945326,0.0404412410572,177.050409643,49.9999999012,2.03671540605,
 ,0.02,1.03100000035,-14.3737132378,0.0788713372183,-0.0266555138604,0.0451846316401,-13.8876747734,0.0432515820096,-24.0599344382,3.30646912074,-35.094085343,0.397963092584,176.52130675,0.276930643851,179.345063754,0.470414124963,-24.6934125769,1.20716585928,160.527832231,0.0271850033558,100.881944382,0.0865307181327,138.827612869,0.447176712692,131.45066823,7.12657165753,89.888094599,0.0404412409598,177.050409715,49.9999999582,0.749265469548,
 ,0.04,1.0310000003,-14.373713061,0.0788713402134,-0.0266564052236,0.0451846325511,-13.8876748191,0.0432515914688,-24.0599341028,3.30646921963,-35.0940846819,0.397963124827,176.52130691,0.276930684605,179.345063828,0.470414093899,-24.6934118396,1.20716603514,160.527833816,0.0271850049347,100.881949231,0.0865307174668,138.827612888,0.447176696351,131.450667718,7.12657165805,89.8880946615,0.040441240515,177.050409966,49.9999999682,0.275639322059,
 ,0.06,1.03100000025,-14.3737127667,0.078871345298,-0.0266579615595,0.0451846341447,-13.8876749355,0.0432516064536,-24.0599334765,3.306469386,-35.0940835817,0.397963178768,176.521307139,0.276930751024,179.345063897,0.470414042636,-24.6934106256,1.20716632518,160.527836431,0.0271850098799,100.881969534,0.0865307163708,138.827612924,0.4471766696,131.450666897,7.12657165915,89.8880947924,0.0404412398317,177.050410374,49.9999999616,0.101402077021,
 ,0.08,1.03100000018,-14.3737123515,0.0788713527454,-0.026660276519,0.0451846365738,-13.8876751627,0.0432516258567,-24.05993259,3.30646962307,-35.0940820304,0.39796325422,176.521307454,0.276930841226,179.345063989,0.470413972032,-24.6934089453,1.20716672388,160.527840037,0.0271850169748,100.882000153,0.0865307148488,138.827612983,0.447176632864,131.450665786,7.12657166157,89.8880950071,0.0404412389653,177.050410916,49.9999999485,0.0373038068847,
 ,0.1,1.03069312106,-14.3697888233,0.0790245471177,0.114663915321,0.0450914699725,-14.3228405498,0.0441918352428,-41.3393649562,3.32286927885,-36.7695378261,0.402245918465,178.080291647,0.289510536192,-173.692202887,0.470552250735,-24.6042622331,1.20723738743,160.58184844,0.0248699791097,105.910441368,0.0865126824642,138.775530049,0.447175119767,131.242324992,7.1387418379,89.8112878746,0.0403634915447,176.899006272,49.999666019,0.01508560467,
 ,0.12,1.0306895886,-14.3678621529,0.0790460271788,0.111415473446,0.0450632779242,-14.3211764928,0.043528395866,-41.8941153294,3.31727018776,-36.8231034649,0.403709371455,178.081721397,0.293048100696,-173.711644907,0.470631898322,-24.6028551312,1.20771733995,160.587743679,0.0250615576605,106.843781863,0.0865039964521,138.774986119,0.447009336856,131.235077072,7.13821144589,89.7991371745,0.0403496208032,176.90510351,49.9996910922,0.00556326001603,
 ,0.14,1.03099166325,-14.3668014332,0.0789527739356,-0.0436600185206,0.0450859211362,-13.8775308944,0.0405554560957,-24.9103859637,3.28601312034,-35.2599889747,0.402760551617,176.534617731,0.288598610648,179.503637896,0.470700849978,-24.6895754408,1.20863210548,160.547708769,0.0276174537012,103.330108716,0.0864994266007,138.826394786,0.446574080066,131.427649019,7.12444794539,89.8448036458,0.0403922052017,177.074841341,49.9997690072,0.00195438744122,
 ,0.16,1.0309946709,-14.3613042251,0.0790137860934,-0.0616197786867,0.0450085714886,-13.8525292978,0.0388990524334,-24.9792571668,3.27135458615,-35.3250427377,0.405997936298,176.514518964,0.295665061837,179.453131021,0.470928071331,-24.6892619055,1.20976048163,160.563630899,0.0278698568066,104.44517936,0.0864745028498,138.827069844,0.446084792522,131.415575956,7.12233806371,89.8121631998,0.0403548534064,177.099556563,49.9994232824,0.00239102515792,
 ,0.18,1.03099605932,-14.3542925069,0.0790829880202,-0.0796325158608,0.0448936125788,-13.8192515411,0.0369353703769,-25.2320907766,3.25244643471,-35.4236851767,0.409941171908,176.501914768,0.303510282437,179.451994579,0.471214336014,-24.6880474134,1.21128274899,160.584438856,0.028211474617,105.900797517,0.0864426838718,138.827507941,0.445465062749,131.398597071,7.11977632404,89.7703771349,0.0403068888201,177.129750797,49.9991592564,0.0022032588335,
