Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),
Configuration Field Inputs,50,50,10,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.02500000223,-40.4152641427,6.72590661237,-58.1844270422,2.87101529528,-46.436018159,1.13118121518,140.831621047,0.0788221300934,152.604221718,0.211190827929,144.724933956,0.494507361167,157.133935677,27.8547967211,-64.1294350083,0.0698823227256,-58.4673235208,0.0633858269108,122.915515939,50.0000000198,5.2881681334,
 ,0.02,1.02500000219,-40.4152642523,6.72590656933,-58.1844270815,2.8710156969,-46.4360202175,1.13118120759,140.831621045,0.0788221316944,152.604222038,0.211190820488,144.724935684,0.494505991921,157.133957986,27.8547972569,-64.1294358612,0.0698823219404,-58.4673234743,0.0633858285526,122.915516118,50.0000000182,1.94540833543,
 ,0.04,1.02500000219,-40.415264554,6.72590644053,-58.1844272374,2.87101567697,-46.4360207199,1.13118119611,140.831620638,0.0788221361789,152.604222818,0.211190827861,144.724936212,0.494505800502,157.133960148,27.8547972817,-64.1294362213,0.0698823196808,-58.4673233634,0.0633858333844,122.915516698,50.0000000346,0.715675644191,
 ,0.06,1.02500000221,-40.4152650571,6.72590622498,-58.1844275012,2.87101555337,-46.4360212102,1.13118118044,140.83161996,0.078822143532,152.604224068,0.211190841981,144.724936647,0.494505809067,157.133959119,27.8547971755,-64.129436646,0.0698823158372,-58.4673231643,0.0633858413906,122.915517656,50.0000000584,0.263282235017,
 ,0.08,1.02500000224,-40.4152657598,6.72590592197,-58.1844278682,2.87101536759,-46.4360218792,1.13118116443,140.831619083,0.0788221535912,152.604225755,0.211190863139,144.72493715,0.494505853857,157.133957104,27.8547970017,-64.1294372131,0.0698823103081,-58.4673228516,0.063385852498,122.915518981,50.0000000846,0.0968559891075,
 ,0.1,1.024982503,-40.4153550241,6.72632386186,-58.192318285,2.88388549803,-47.9111169483,1.12358927599,142.564203933,0.0787357842408,155.060856894,0.212486156055,150.926310234,0.498163851127,160.181294908,27.8540753882,-64.1591840098,0.0698817136887,-58.4654772039,0.0633858602156,122.913897853,50.0000070961,0.0356075751728,
 ,0.12,1.02498213898,-40.4153825277,6.72677878945,-58.1932906475,2.87983619328,-47.9487154731,1.12466651013,142.591679123,0.0790390890035,155.150025686,0.2137551914,150.986131752,0.501123715076,160.182016873,27.8532758222,-64.1596363133,0.069881853317,-58.4656351923,0.0633863711203,122.913946364,50.0000053422,0.0131051055719,
 ,0.14,1.02499867747,-40.4152661271,6.72721308077,-58.1873596952,2.85822991422,-46.5669392292,1.1354190432,140.945715954,0.079818765255,152.908834445,0.215231681319,145.07429309,0.501193533213,157.259625132,27.8526141243,-64.1314669879,0.0698831090354,-58.4677571408,0.0633872207845,122.91568035,49.9999920612,0.00487662087854,
 ,0.16,1.02499816788,-40.4150485644,6.72794769273,-58.188677752,2.85156605954,-46.6225552641,1.13852375709,140.98513162,0.080447462974,153.044692607,0.217393297808,145.171846028,0.502502159949,157.318290363,27.8518613452,-64.1323583565,0.0698848728626,-58.4680768597,0.0633876227635,122.915950483,49.9999755895,0.00188871550668,
 ,0.18,1.02499747919,-40.414455332,6.72843784541,-58.1895664381,2.8418627013,-46.6977536454,1.14307983069,141.057436876,0.0811390192645,153.210377082,0.220442030508,145.311539993,0.506163399195,157.380099802,27.8501745323,-64.1328165691,0.0698885225398,-58.4683366061,0.0633871637119,122.916412724,49.9999357649,0.000903846889424,
 ,0.2,1.02499671337,-40.4133307786,6.7285993296,-58.1896886878,2.82983870555,-46.7839084178,1.14917860972,141.151661041,0.0818725515072,153.388879328,0.224171601628,145.461132862,0.511023689728,157.444125424,27.8477933229,-64.13265601,0.0698947367823,-58.4685042841,0.0633854981749,122.917171823,49.9998730658,0.000658323333088,
 ,0.22,1.02499586992,-40.4114533961,6.72833528443,-58.1887251043,2.81521851676,-46.882264964,1.15711797817,141.270420056,0.0826494522056,153.579022617,0.228668656039,145.617891951,0.517036423944,157.511684988,27.8446332938,-64.1316391542,0.0699043558699,-58.4685029178,0.063382092636,122.918350404,49.9997821103,0.000712748546937,
 ,0.24,1.02499494204,-40.4085460677,6.72754664687,-58.1863015539,2.79766946427,-46.9946193721,1.1671611785,141.416670733,0.0834712721916,153.780945505,0.234031552881,145.781294743,0.524320980055,157.583380919,27.8405759803,-64.129460529,0.0699183149773,-58.4682155287,0.063376262673,122.920098387,49.999656016,0.000912592183639,
 ,0.26,1.02499392366,-40.4042711266,6.72613503931,-58.181979004,2.77692761629,-47.1226935386,1.17950986726,141.592608345,0.0843379847257,153.994732524,0.240336827233,145.951236914,0.532991290728,157.659803327,27.8355139421,-64.1257520859,0.0699376327984,-58.4674786358,0.0633671643268,122.922597325,49.9994868924,0.00120600733324,
