Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.03899972981,-6.79817334643,0.451747237045,31.1795165639,0.141947761556,-32.8963900399,0.119034417769,-22.7184081398,1.41515352086,23.7006952385,0.182142103616,23.3946784687,0.192502480265,23.9712835215,0.0103553330707,-41.3921519141,49.9999985204,0.978727325345,
 ,0.02,1.03899972024,-6.79817185908,0.451747198189,31.1795175677,0.141947754344,-32.8963912508,0.119034410389,-22.7184096497,1.41515336684,23.700696088,0.182142059817,23.3946780182,0.192502441295,23.9712825963,0.0103553333759,-41.3921495832,49.9999993342,0.360049827315,
 ,0.04,1.03899971747,-6.79817043876,0.451747200195,31.1795179693,0.141947755271,-32.8963902771,0.119034411029,-22.7184085454,1.41515337114,23.7006966446,0.182142057635,23.3946784366,0.192502439874,23.9712829796,0.010355334174,-41.3921437238,49.9999996259,0.132453613365,
 ,0.06,1.03899971479,-6.79816830223,0.451747213947,31.1795185014,0.141947758355,-32.8963880167,0.119034413785,-22.718406419,1.41515341349,23.7006974219,0.182142062177,23.3946790709,0.192502444988,23.9712836511,0.0103553354596,-41.3921342354,49.9999996693,0.0487268028069,
 ,0.08,1.03899971162,-6.79816539676,0.451747236333,31.1795192192,0.141947763031,-32.8963846352,0.119034418074,-22.7184034055,1.41515348208,23.7006984706,0.182142070475,23.3946799169,0.192502453981,23.9712845676,0.0103553371744,-41.3921214428,49.9999996177,0.0179258700754,
 ,0.1,0.559763934898,1.95635053916,1.0680821006,-77.4080240318,0.242041635925,-86.0074982147,0.203222682089,-86.3290476975,3.6166984126,-83.8906380919,0.201593911175,-79.9816551438,0.267587779972,-76.1158941295,0.00970346454771,-31.887624757,48.625500664,5.6512697996,
 ,0.12,0.55792402436,2.79651376093,1.07235064875,-76.6454775985,0.242646814584,-85.5166773749,0.203641773893,-85.8470727676,3.62292538258,-83.2928172332,0.207246319114,-81.9359639461,0.272404487791,-76.9122501808,0.0100291832116,-29.8878564319,49.3944492896,-1.4728032677,
 ,0.14,1.02817453562,-4.62600392853,0.446789701506,29.619349317,0.142652371163,-32.4139412519,0.119041578257,-22.4877620855,1.37931511224,22.9814480096,0.16915433156,22.3497533975,0.182661894146,22.7456826521,0.0111405520559,-35.2082158658,50.2623916031,-4.31190961492,
 ,0.16,1.02917478234,-3.84734300237,0.480187701899,29.2296700115,0.147895066501,-30.3170678465,0.124132232658,-20.6704035099,1.47320355895,23.0142081488,0.186951906059,22.8644514447,0.199001200797,23.4718376947,0.0115666544927,-31.9301483767,50.0335469149,-0.495056212989,
 ,0.18,1.02772652306,-2.8466001762,0.501371391155,29.0213005301,0.151112600532,-28.8091357767,0.127157790258,-19.4396630083,1.5237981837,23.1380373996,0.193712088063,23.1093315575,0.205962616001,23.7624576501,0.0119899589565,-28.8673283914,49.9288018696,0.306906312195,
