Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),
Configuration Field Inputs,50,50,9,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.11442886539,-12.5994154735,0.27938239178,145.484732577,0.281803390042,145.719203422,0.265866780227,-152.995325029,0.265319325884,-153.172232397,0.538273910253,3.17718474471,0.538273910253,3.17718474471,1.63331675808,-170.879699548,1.63247930715,-170.843330845,49.9999983991,1.93449553562,
 ,0.02,1.11442885419,-12.5994141825,0.279382415679,145.484743004,0.281803414054,145.71921375,0.265866857362,-152.995325976,0.265319403056,-153.172233296,0.538274046513,3.17718895588,0.538274046513,3.17718895588,1.63331675622,-170.879698812,1.63247930529,-170.843330111,49.9999993071,0.71165686359,
 ,0.04,1.11442885063,-12.5994131312,0.279382416523,145.484743598,0.281803414878,145.719214346,0.265866880773,-152.995328689,0.265319426522,-153.172236002,0.53827415109,3.17718894213,0.53827415109,3.17718894213,1.63331682747,-170.879698075,1.63247937665,-170.843329377,49.9999996501,0.261802362266,
 ,0.06,1.11442884762,-12.5994116141,0.279382412792,145.48474297,0.2818034111,145.719213739,0.265866907716,-152.9953327,0.265319453546,-153.172240005,0.538274299366,3.17718789125,0.538274299366,3.17718789125,1.63331694456,-170.879697191,1.63247949392,-170.843328497,49.9999997344,0.0963113451001,
 ,0.08,1.11442884442,-12.599409572,0.279382406073,145.484741854,0.281803404315,145.719212655,0.265866942488,-152.995337929,0.265319488423,-153.172245226,0.538274495325,3.17718620695,0.538274495325,3.17718620695,1.63331710329,-170.879696096,1.63247965288,-170.843327407,49.9999997192,0.0354310634788,
 ,0.1,0.638773032709,-8.40439321282,0.440421353544,-117.212265081,0.44101286427,-117.380531587,2.55975907425,-95.0795784542,2.55920986044,-95.0813839931,2.67347703702,70.4885894834,2.67347703702,70.4885894834,1.36090927789,169.539969992,1.36081566943,169.536363012,49.3742258247,2.65020800064,
 ,0.12,0.634549280306,-7.8911122113,0.437002489699,-117.317092301,0.437606845215,-117.484096808,2.53918016709,-94.5486274469,2.53863455964,-94.5504297943,2.69085864641,70.2831002577,2.69085864641,70.2831002577,1.38722603382,171.485532841,1.38715839764,171.482558853,49.711330559,-0.597334128222,
 ,0.14,1.09998506859,-11.054578649,0.287521091263,147.08468491,0.28990615739,147.310034991,0.301081201335,-155.155914135,0.300593972933,-155.316576082,0.666755740436,7.04484248171,0.666755740436,7.04484248171,1.69845950276,-168.401599389,1.69770367982,-168.366959104,50.116130911,-2.01631462992,
 ,0.16,1.10218407711,-10.6872738969,0.285340061289,145.627158874,0.287699677777,145.869194818,0.309767591175,-157.034079483,0.309312646053,-157.194003328,0.687229327403,5.8146185583,0.687229327403,5.8146185583,1.71717150306,-168.238812956,1.71642188512,-168.204690558,50.0107473154,-0.22720750829,
 ,0.18,1.10127940886,-10.1030740253,0.287221929074,145.683444138,0.289569653625,145.92805219,0.326623783968,-158.088002176,0.326193914111,-158.241829523,0.728800565233,5.64409948128,0.728800565233,5.64409948128,1.73859315741,-167.809221392,1.73785776576,-167.775861909,49.9548129893,0.178950634927,
 ,0.2,1.10002864027,-9.50513466555,0.289522020711,145.856079152,0.291858530139,146.101995125,0.343384944996,-158.903212755,0.342977138649,-159.051149182,0.770929216944,5.6495154579,0.770929216944,5.6495154579,1.75988420137,-167.34017278,1.75916474962,-167.307552739,49.931719911,0.173403766456,
 ,0.22,1.09874224645,-8.90973116791,0.29230064902,146.131031818,0.294627941604,146.377000667,0.360048279053,-159.560880914,0.359660273187,-159.703248632,0.812083222977,5.72548874711,0.812083222977,5.72548874711,1.77974173522,-166.865377141,1.77903783314,-166.833442011,49.922875953,0.104718322223,
 ,0.24,1.09749334487,-8.32029077176,0.295592502564,146.527215996,0.297913312469,146.771844707,0.376547006617,-160.079319649,0.376176668716,-160.21646609,0.851898150299,5.84587716627,0.851898150299,5.84587716627,1.79781685652,-166.395503052,1.79712756206,-166.364197184,49.9199453248,0.0517723778065,
 ,0.26,1.09632081673,-7.73916933724,0.299409135786,147.05340665,0.301726552784,147.295280001,0.392750908807,-160.474254706,0.392396249255,-160.606556437,0.890119506497,5.99634965298,0.890119506497,5.99634965298,1.81394884109,-165.936128023,1.81327297458,-165.905396898,49.9195385386,0.0204328215583,
 ,0.28,1.09525197211,-7.16833256608,0.303769196071,147.714155079,0.306086508163,147.951874106,0.408549542341,-160.762119896,0.408208752412,-160.889962726,0.92655703583,6.1667222635,0.92655703583,6.1667222635,1.8280167701,-165.490799766,1.82735297956,-165.460589667,49.9202851169,0.00344136034402,
 ,0.3,1.09430704691,-6.60945369667,0.308697758546,148.510680616,0.311018322254,148.742892919,0.423860511566,-160.958694682,0.423531972647,-161.082457037,0.961072388756,6.34928369774,0.961072388756,6.34928369774,1.83992337845,-165.061993776,1.83927016539,-165.032251599,49.9216219358,-0.00563634495075,
 ,0.32,1.09350055512,-6.06396046946,0.314222357624,149.44063322,0.316549465124,149.666066074,0.43862483949,-161.078308419,0.438307114933,-161.198351094,0.993568838331,6.53815194777,0.993568838331,6.53815194777,1.84959606775,-164.651477141,1.8489518085,-164.622150386,49.9233077141,-0.0106674933525,
 ,0.34,1.09284175528,-5.53305502191,0.320370046436,150.498014694,0.322706795789,150.71550834,0.452802384883,-161.133578461,0.452494204372,-161.250239015,1.02398403209,6.72894546546,1.02398403209,6.72894546546,1.85698818985,-164.260449294,1.85635115748,-164.231486111,49.9252289055,-0.0136698573086,
