Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),
Configuration Field Inputs,50,50,10,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.02999999524,-16.0332385631,1.51074314627,94.9507050824,9.93918357901,171.666742879,0.088592722518,56.1089210653,1.0641744207,12.0286369275,5.93364021022,-36.0847603308,0.0432515794499,155.940065936,0.0382225807749,147.513613291,0.0803895628523,140.554031124,0.0663799398211,97.1869430096,50.0000000782,2.26382563722,
 ,0.02,1.02999999501,-16.0332386103,1.51074311376,94.9507163306,9.93918370198,171.666743021,0.0885927219059,56.1089250852,1.06417437548,12.0286385204,5.93364006916,-36.0847607144,0.0432515820096,155.940065562,0.0382225808817,147.513613257,0.0803895634435,140.554031063,0.0663799403879,97.1869435411,50.0000000341,0.832815105095,
 ,0.04,1.02999999492,-16.0332387969,1.51074315076,94.9507267765,9.93918383187,171.666742855,0.0885927164507,56.108938934,1.06417420836,12.0286428763,5.93363960816,-36.0847626549,0.0432515914688,155.940065897,0.0382225812948,147.513613251,0.0803895657506,140.554031253,0.0663799421097,97.1869455589,50.0000000298,0.306375569493,
 ,0.06,1.02999999484,-16.0332390783,1.51074322754,94.9507418292,9.93918401345,171.666742537,0.0885927077915,56.1089602754,1.06417394919,12.0286495311,5.93363890618,-36.0847656564,0.0432516064536,155.940066524,0.0382225819328,147.513613256,0.0803895692852,140.554031576,0.0663799448281,97.1869487946,50.0000000362,0.112709239574,
 ,0.08,1.02999999476,-16.0332394085,1.51074333695,94.9507615974,9.9391842316,171.666742112,0.0885926970631,56.108986547,1.06417362862,12.028657745,5.93363805656,-36.0847692905,0.0432516258567,155.94006741,0.0382225827172,147.513613278,0.0803895735764,140.554031987,0.0663799483507,97.1869530319,50.0000000425,0.0414633818891,
 ,0.1,1.02064393222,-15.9792516627,3.44454399792,-117.749997429,10.5113859543,-177.786560858,0.129627954767,59.2099543345,1.24116471455,24.0604721427,5.6925199749,-28.1666258946,0.0441918352428,138.660635044,0.0381066820686,146.047111336,0.0809492690167,135.902330626,0.0694163828875,94.8797839292,49.995202948,0.036314108021,
 ,0.12,1.02050871196,-15.9476737946,3.52205255135,-118.462033094,10.5701079447,-177.660750583,0.130756655819,58.2306180271,1.2574797713,23.7613947068,5.73345174179,-27.9026336184,0.043528395866,138.105884671,0.0380479258193,146.026015382,0.080589014842,135.77355186,0.0693257711684,94.6873676334,49.9952611825,0.0145761623489,
 ,0.14,1.02960988151,-15.9221494398,1.47455871915,108.824059202,10.1518832884,172.190394928,0.0929053428148,51.2761843101,1.12450966177,11.3493024276,6.06860068773,-35.0870249571,0.0405554560957,155.089614036,0.0380130160386,147.460950865,0.0790538915065,140.209972811,0.0659971631272,96.5016544009,49.9959815564,0.00317010621721,
 ,0.16,1.02961960797,-15.8529751942,1.52691050958,110.811540818,10.2317968515,172.262357482,0.0948599084919,48.2738011936,1.15758926116,10.6326712256,6.15705839355,-34.6996787572,0.0388990524334,155.020742833,0.0378832918834,147.467528981,0.0781971402077,140.116659396,0.0656764575158,96.1279375832,49.9923285792,0.0191185973531,
 ,0.18,1.02955810959,-15.7703027386,1.57515705138,114.641399795,10.3278444395,172.413735752,0.0977965265424,44.9682822622,1.19704853917,9.9592101441,6.25508108266,-34.2141509396,0.0369353703769,154.767909223,0.0377280769393,147.463529893,0.0771823100232,139.964039552,0.0653238303836,95.6604014524,49.9898485835,0.0191219421556,
