Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.05238236304,-74.6096548363,14.6587396555,126.051195439,50.0000001162,8.07428495364,
 ,0.02,1.05238236821,-74.6096540304,14.6587389584,126.05119738,49.9999999817,2.97036398728,
 ,0.04,1.05238236884,-74.6096538434,14.6587388624,126.051197715,49.9999999779,1.09273585411,
 ,0.06,1.05238236885,-74.6096536941,14.6587388486,126.051197884,49.9999999785,0.401995054096,
 ,0.08,1.05238236874,-74.6096534973,14.6587388449,126.051198084,49.9999999744,0.1478857383,
 ,0.1,1.05231988835,-74.6116186931,14.6578273281,126.04932572,50.000169307,0.0536936250891,
 ,0.12,1.05231720248,-74.6129936385,14.6577639748,126.047999037,50.000193668,0.0195581846503,
 ,0.14,1.05237273024,-74.6135889204,14.65857691,126.047334606,50.0001353,0.00732393977731,
 ,0.16,1.0523679581,-74.6156181688,14.6585389092,126.045282173,50.0002207599,0.0023538201153,
 ,0.18,1.05236165537,-74.6165273067,14.6584455037,126.044378516,50.0001517194,0.00125774301146,
 ,0.2,1.0523542925,-74.6159236882,14.6583211125,126.044984986,49.99999016,0.00130888562497,
 ,0.22,1.05234575659,-74.6133045657,14.65816903,126.04760217,49.9997498985,0.00172210999579,
 ,0.24,1.05233591751,-74.6081011828,14.6579882402,126.052799021,49.9994303075,0.00227484258623,
 ,0.26,1.05232467786,-74.5996847493,14.6577769602,126.061204226,49.9990259057,0.00290752669807,
 ,0.28,1.05231198089,-74.5873699895,14.6575336265,126.073502658,49.9985297518,0.00360474500833,
 ,0.3,1.0522978137,-74.5704217453,14.6572572551,126.090428928,49.9979349739,0.00436002262968,
